"","external_gene_name","chromosome_name","description"
"9092","ALDOA","16","aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]"
"9093","DDIT4","10","DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]"
"9094","RSPH6A","19","radial spoke head 6 homolog A [Source:HGNC Symbol;Acc:HGNC:14241]"
"9095","HACD1","10","3-hydroxyacyl-CoA dehydratase 1 [Source:HGNC Symbol;Acc:HGNC:9639]"
"9096","ZFYVE26","14","zinc finger FYVE-type containing 26 [Source:HGNC Symbol;Acc:HGNC:20761]"
"9097","MAPRE2","18","microtubule associated protein RP/EB family member 2 [Source:HGNC Symbol;Acc:HGNC:6891]"
"9098","GSTA5","6","glutathione S-transferase alpha 5 [Source:HGNC Symbol;Acc:HGNC:19662]"
"9099","HAUS7","X","HAUS augmin like complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:32979]"
"9100","NCR2","6","natural cytotoxicity triggering receptor 2 [Source:HGNC Symbol;Acc:HGNC:6732]"
"9101","RPS20","8","ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]"
"9102","CTSV","9","cathepsin V [Source:HGNC Symbol;Acc:HGNC:2538]"
"9103","STAM","10","signal transducing adaptor molecule [Source:HGNC Symbol;Acc:HGNC:11357]"
"9104","CMAS","12","cytidine monophosphate N-acetylneuraminic acid synthetase [Source:HGNC Symbol;Acc:HGNC:18290]"
"9105","SLC17A4","6","solute carrier family 17 member 4 [Source:HGNC Symbol;Acc:HGNC:10932]"
"9106","ZNF426","19","zinc finger protein 426 [Source:HGNC Symbol;Acc:HGNC:20725]"
"9107","TSGA10","2","testis specific 10 [Source:HGNC Symbol;Acc:HGNC:14927]"
"9108","TCEANC2","1","transcription elongation factor A N-terminal and central domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26494]"
"9109","LRRC10","12","leucine rich repeat containing 10 [Source:HGNC Symbol;Acc:HGNC:20264]"
"9110","PLEKHA2","8","pleckstrin homology domain containing A2 [Source:HGNC Symbol;Acc:HGNC:14336]"
"9111","SLC17A1","6","solute carrier family 17 member 1 [Source:HGNC Symbol;Acc:HGNC:10929]"
"9112","CEP72","5","centrosomal protein 72 [Source:HGNC Symbol;Acc:HGNC:25547]"
"9113","","3","TRIM59 and iFT80 readthrough"
"9114","CEND1","11","cell cycle exit and neuronal differentiation 1 [Source:HGNC Symbol;Acc:HGNC:24153]"
"9115","ZNF561","19","zinc finger protein 561 [Source:HGNC Symbol;Acc:HGNC:28684]"
"9116","KTI12","1","KTI12 chromatin associated homolog [Source:HGNC Symbol;Acc:HGNC:25160]"
"9117","TPTEP2-CSNK1E","22","TPTEP2-CSNK1E readthrough [Source:HGNC Symbol;Acc:HGNC:53829]"
"9118","SAT1","X","spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]"
"9119","LRRC42","1","leucine rich repeat containing 42 [Source:HGNC Symbol;Acc:HGNC:28792]"
"9120","SMIM26","20","small integral membrane protein 26 [Source:HGNC Symbol;Acc:HGNC:43430]"
"9121","KCNJ4","22","potassium inwardly rectifying channel subfamily J member 4 [Source:HGNC Symbol;Acc:HGNC:6265]"
"9122","TPPP","5","tubulin polymerization promoting protein [Source:HGNC Symbol;Acc:HGNC:24164]"
"9123","TMEM236","10","transmembrane protein 236 [Source:HGNC Symbol;Acc:HGNC:23473]"
"9124","KDELR3","22","KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]"
"9125","CAMKK2","12","calcium/calmodulin dependent protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:1470]"
"9126","RBCK1","20","RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol;Acc:HGNC:15864]"
"9127","GTPBP4","10","GTP binding protein 4 [Source:HGNC Symbol;Acc:HGNC:21535]"
"9128","DDX17","22","DEAD-box helicase 17 [Source:HGNC Symbol;Acc:HGNC:2740]"
"9129","MAGEB1","X","MAGE family member B1 [Source:HGNC Symbol;Acc:HGNC:6808]"
"9130","HTRA4","8","HtrA serine peptidase 4 [Source:HGNC Symbol;Acc:HGNC:26909]"
"9131","INPP5K","17","inositol polyphosphate-5-phosphatase K [Source:HGNC Symbol;Acc:HGNC:33882]"
"9132","TNFSF10","3","TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]"
"9133","OR13H1","X","olfactory receptor family 13 subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:14755]"
"9134","ZNF397","18","zinc finger protein 397 [Source:HGNC Symbol;Acc:HGNC:18818]"
"9135","SPACA5B","X","sperm acrosome associated 5B [Source:HGNC Symbol;Acc:HGNC:19142]"
"9136","SLC17A3","6","solute carrier family 17 member 3 [Source:HGNC Symbol;Acc:HGNC:10931]"
"9137","STARD8","X","StAR related lipid transfer domain containing 8 [Source:HGNC Symbol;Acc:HGNC:19161]"
"9138","TM2D2","8","TM2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24127]"
"9139","RECK","9","reversion inducing cysteine rich protein with kazal motifs [Source:HGNC Symbol;Acc:HGNC:11345]"
"9140","BRI3","7","brain protein I3 [Source:HGNC Symbol;Acc:HGNC:1109]"
"9141","SLC25A22","11","solute carrier family 25 member 22 [Source:HGNC Symbol;Acc:HGNC:19954]"
"9142","MATR3","5","matrin 3 [Source:HGNC Symbol;Acc:HGNC:6912]"
"9143","KANK4","1","KN motif and ankyrin repeat domains 4 [Source:HGNC Symbol;Acc:HGNC:27263]"
"9144","ADAM32","8","ADAM metallopeptidase domain 32 [Source:HGNC Symbol;Acc:HGNC:15479]"
"9145","AKR1B15","7","aldo-keto reductase family 1 member B15 [Source:HGNC Symbol;Acc:HGNC:37281]"
"9146","ZSCAN30","18","zinc finger and SCAN domain containing 30 [Source:HGNC Symbol;Acc:HGNC:33517]"
"9147","ZNF562","19","zinc finger protein 562 [Source:HGNC Symbol;Acc:HGNC:25950]"
"9148","MAGEB3","X","MAGE family member B3 [Source:HGNC Symbol;Acc:HGNC:6810]"
"9149","IDI2","10","isopentenyl-diphosphate delta isomerase 2 [Source:HGNC Symbol;Acc:HGNC:23487]"
"9150","CXorf49B","X","chromosome X open reading frame 49B [Source:HGNC Symbol;Acc:HGNC:34229]"
"9151","GCNA","X","germ cell nuclear acidic peptidase [Source:HGNC Symbol;Acc:HGNC:15805]"
"9152","TST","22","thiosulfate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:12388]"
"9153","TRIM38","6","tripartite motif containing 38 [Source:HGNC Symbol;Acc:HGNC:10059]"
"9154","ANXA8L1","10","annexin A8 like 1 [Source:HGNC Symbol;Acc:HGNC:23334]"
"9155","SLC37A3","7","solute carrier family 37 member 3 [Source:HGNC Symbol;Acc:HGNC:20651]"
"9156","ZNF24","18","zinc finger protein 24 [Source:HGNC Symbol;Acc:HGNC:13032]"
"9157","GNE","9","glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase [Source:HGNC Symbol;Acc:HGNC:23657]"
"9158","OPN1MW2","X","opsin 1, medium wave sensitive 2 [Source:HGNC Symbol;Acc:HGNC:26952]"
"9159","CYTH4","22","cytohesin 4 [Source:HGNC Symbol;Acc:HGNC:9505]"
"9160","H1-1","6","H1.1 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4715]"
"9161","H3C1","6","H3 clustered histone 1 [Source:HGNC Symbol;Acc:HGNC:4766]"
"9162","H4C1","6","H4 clustered histone 1 [Source:HGNC Symbol;Acc:HGNC:4781]"
"9163","H3C2","6","H3 clustered histone 2 [Source:HGNC Symbol;Acc:HGNC:4776]"
"9164","H2AC4","6","H2A clustered histone 4 [Source:HGNC Symbol;Acc:HGNC:4734]"
"9165","H2BC3","6","H2B clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4751]"
"9166","H3C3","6","H3 clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4768]"
"9167","H1-2","6","H1.2 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4716]"
"9168","H1-6","6","H1.6 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4720]"
"9169","USP1","1","ubiquitin specific peptidase 1 [Source:HGNC Symbol;Acc:HGNC:12607]"
"9170","H1-4","6","H1.4 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4718]"
"9171","RTEL1-TNFRSF6B","20","RTEL1-TNFRSF6B readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:44095]"
"9172","H2BC6","6","H2B clustered histone 6 [Source:HGNC Symbol;Acc:HGNC:4753]"
"9173","H4C4","6","H4 clustered histone 4 [Source:HGNC Symbol;Acc:HGNC:4782]"
"9174","FBXL12","19","F-box and leucine rich repeat protein 12 [Source:HGNC Symbol;Acc:HGNC:13611]"
"9175","MICB","6","MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]"
"9176","MAGEA9B","X","MAGE family member A9B [Source:HGNC Symbol;Acc:HGNC:31909]"
"9177","INSM2","14","INSM transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:17539]"
"9178","ZNF396","18","zinc finger protein 396 [Source:HGNC Symbol;Acc:HGNC:18824]"
"9179","FAM236D","X","family with sequence similarity 236 member D [Source:HGNC Symbol;Acc:HGNC:52642]"
"9180","RILP","17","Rab interacting lysosomal protein [Source:HGNC Symbol;Acc:HGNC:30266]"
"9181","BRMS1L","14","BRMS1 like transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:20512]"
"9182","ACTRT1","X","actin related protein T1 [Source:HGNC Symbol;Acc:HGNC:24027]"
"9183","CXorf49","X","chromosome X open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:30891]"
"9184","CTAG1B","X","cancer/testis antigen 1B [Source:HGNC Symbol;Acc:HGNC:2491]"
"9185","TLCD2","17","TLC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:33522]"
"9186","INO80C","18","INO80 complex subunit C [Source:HGNC Symbol;Acc:HGNC:26994]"
"9187","MRPS34","16","mitochondrial ribosomal protein S34 [Source:HGNC Symbol;Acc:HGNC:16618]"
"9188","CTAG2","X","cancer/testis antigen 2 [Source:HGNC Symbol;Acc:HGNC:2492]"
"9189","SPO11","20","SPO11 initiator of meiotic double stranded breaks [Source:HGNC Symbol;Acc:HGNC:11250]"
"9190","EHD2","19","EH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3243]"
"9191","SERPINF2","17","serpin family F member 2 [Source:HGNC Symbol;Acc:HGNC:9075]"
"9192","MCCD1","6","mitochondrial coiled-coil domain 1 [Source:HGNC Symbol;Acc:HGNC:20668]"
"9193","AMOT","X","angiomotin [Source:HGNC Symbol;Acc:HGNC:17810]"
"9194","MFSD9","2","major facilitator superfamily domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28158]"
"9195","NUBP2","16","NUBP iron-sulfur cluster assembly factor 2, cytosolic [Source:HGNC Symbol;Acc:HGNC:8042]"
"9196","DDX39B","6","DExD-box helicase 39B [Source:HGNC Symbol;Acc:HGNC:13917]"
"9197","NPY4R","10","neuropeptide Y receptor Y4 [Source:HGNC Symbol;Acc:HGNC:9329]"
"9198","NOP53","19","NOP53 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:4333]"
"9199","ZNF839","14","zinc finger protein 839 [Source:HGNC Symbol;Acc:HGNC:20345]"
"9200","STOX1","10","storkhead box 1 [Source:HGNC Symbol;Acc:HGNC:23508]"
"9201","DSG2","18","desmoglein 2 [Source:HGNC Symbol;Acc:HGNC:3049]"
"9202","ELFN2","22","extracellular leucine rich repeat and fibronectin type III domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29396]"
"9203","AK5","1","adenylate kinase 5 [Source:HGNC Symbol;Acc:HGNC:365]"
"9204","SLC5A7","2","solute carrier family 5 member 7 [Source:HGNC Symbol;Acc:HGNC:14025]"
"9205","PPP6C","9","protein phosphatase 6 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9323]"
"9206","RAE1","20","ribonucleic acid export 1 [Source:HGNC Symbol;Acc:HGNC:9828]"
"9207","MFNG","22","MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7038]"
"9208","FAM156A","X","family with sequence similarity 156 member A [Source:HGNC Symbol;Acc:HGNC:30114]"
"9209","SERPINF1","17","serpin family F member 1 [Source:HGNC Symbol;Acc:HGNC:8824]"
"9210","DDX50","10","DExD-box helicase 50 [Source:HGNC Symbol;Acc:HGNC:17906]"
"9211","TERF1","8","telomeric repeat binding factor 1 [Source:HGNC Symbol;Acc:HGNC:11728]"
"9212","PHC3","3","polyhomeotic homolog 3 [Source:HGNC Symbol;Acc:HGNC:15682]"
"9213","RABEPK","9","Rab9 effector protein with kelch motifs [Source:HGNC Symbol;Acc:HGNC:16896]"
"9214","IL1B","2","interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]"
"9215","GGH","8","gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]"
"9216","RABGGTA","14","Rab geranylgeranyltransferase subunit alpha [Source:HGNC Symbol;Acc:HGNC:9795]"
"9217","CARD10","22","caspase recruitment domain family member 10 [Source:HGNC Symbol;Acc:HGNC:16422]"
"9218","GIPC2","1","GIPC PDZ domain containing family member 2 [Source:HGNC Symbol;Acc:HGNC:18177]"
"9219","ROCK1","18","Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]"
"9220","HSPA5","9","heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]"
"9221","RPE65","1","retinoid isomerohydrolase RPE65 [Source:HGNC Symbol;Acc:HGNC:10294]"
"9222","ZNF552","19","zinc finger protein 552 [Source:HGNC Symbol;Acc:HGNC:26135]"
"9223","CSPP1","8","centrosome and spindle pole associated protein 1 [Source:HGNC Symbol;Acc:HGNC:26193]"
"9224","ANGPTL3","1","angiopoietin like 3 [Source:HGNC Symbol;Acc:HGNC:491]"
"9225","ZNF587B","19","zinc finger protein 587B [Source:HGNC Symbol;Acc:HGNC:37142]"
"9226","PAGE3","X","PAGE family member 3 [Source:HGNC Symbol;Acc:HGNC:4110]"
"9227","SMYD4","17","SET and MYND domain containing 4 [Source:HGNC Symbol;Acc:HGNC:21067]"
"9228","IGFALS","16","insulin like growth factor binding protein acid labile subunit [Source:HGNC Symbol;Acc:HGNC:5468]"
"9229","SSX4B","X","SSX family member 4B [Source:HGNC Symbol;Acc:HGNC:16880]"
"9230","ZNF587","19","zinc finger protein 587 [Source:HGNC Symbol;Acc:HGNC:30955]"
"9231","ACO1","9","aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]"
"9232","CRCP","7","CGRP receptor component [Source:HGNC Symbol;Acc:HGNC:17888]"
"9233","CRIM1","2","cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]"
"9234","HAGH","16","hydroxyacylglutathione hydrolase [Source:HGNC Symbol;Acc:HGNC:4805]"
"9235","ZNF417","19","zinc finger protein 417 [Source:HGNC Symbol;Acc:HGNC:20646]"
"9236","DNAJC6","1","DnaJ heat shock protein family (Hsp40) member C6 [Source:HGNC Symbol;Acc:HGNC:15469]"
"9237","TAPT1","4","transmembrane anterior posterior transformation 1 [Source:HGNC Symbol;Acc:HGNC:26887]"
"9238","C10orf105","10","chromosome 10 open reading frame 105 [Source:HGNC Symbol;Acc:HGNC:20304]"
"9239","RPA1","17","replication protein A1 [Source:HGNC Symbol;Acc:HGNC:10289]"
"9240","CT47A1","X","cancer/testis antigen family 47 member A1 [Source:HGNC Symbol;Acc:HGNC:33282]"
"9241","VSIR","10","V-set immunoregulatory receptor [Source:HGNC Symbol;Acc:HGNC:30085]"
"9242","MPC1L","X","mitochondrial pyruvate carrier 1 like [Source:HGNC Symbol;Acc:HGNC:44205]"
"9243","ZNF256","19","zinc finger protein 256 [Source:HGNC Symbol;Acc:HGNC:13049]"
"9244","DMRTC1B","X","DMRT like family C1B [Source:HGNC Symbol;Acc:HGNC:31686]"
"9245","C19orf18","19","chromosome 19 open reading frame 18 [Source:HGNC Symbol;Acc:HGNC:28642]"
"9246","MRO","18","maestro [Source:HGNC Symbol;Acc:HGNC:24121]"
"9247","CDH23","10","cadherin related 23 [Source:HGNC Symbol;Acc:HGNC:13733]"
"9248","IL4I1","19","interleukin 4 induced 1 [Source:HGNC Symbol;Acc:HGNC:19094]"
"9249","RBM38","20","RNA binding motif protein 38 [Source:HGNC Symbol;Acc:HGNC:15818]"
"9250","ZBED1","X","zinc finger BED-type containing 1 [Source:HGNC Symbol;Acc:HGNC:447]"
"9251","CPED1","7","cadherin like and PC-esterase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26159]"
"9252","ATP6V1G2-DDX39B","6","ATP6V1G2-DDX39B readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:41999]"
"9253","ACOT8","20","acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]"
"9254","SUCLG1","2","succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449]"
"9255","AK4","1","adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]"
"9256","CDC42EP1","22","CDC42 effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17014]"
"9257","PAIP2","5","poly(A) binding protein interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:17970]"
"9258","CD99","X","CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]"
"9259","LTA","6","lymphotoxin alpha [Source:HGNC Symbol;Acc:HGNC:6709]"
"9260","LGALS2","22","galectin 2 [Source:HGNC Symbol;Acc:HGNC:6562]"
"9261","SPATA5","4","spermatogenesis associated 5 [Source:HGNC Symbol;Acc:HGNC:18119]"
"9262","TTLL8","22","tubulin tyrosine ligase like 8 [Source:HGNC Symbol;Acc:HGNC:34000]"
"9263","LEPROT","1","leptin receptor overlapping transcript [Source:HGNC Symbol;Acc:HGNC:29477]"
"9264","SOX9","17","SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]"
"9265","LTB","6","lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]"
"9266","RAC2","22","Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]"
"9267","PPP4R3A","14","protein phosphatase 4 regulatory subunit 3A [Source:HGNC Symbol;Acc:HGNC:20219]"
"9268","PXYLP1","3","2-phosphoxylose phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:26303]"
"9269","SLC23A1","5","solute carrier family 23 member 1 [Source:HGNC Symbol;Acc:HGNC:10974]"
"9270","CACHD1","1","cache domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29314]"
"9271","NMS","2","neuromedin S [Source:HGNC Symbol;Acc:HGNC:32203]"
"9272","LST1","6","leukocyte specific transcript 1 [Source:HGNC Symbol;Acc:HGNC:14189]"
"9273","DEFB121","20","defensin beta 121 [Source:HGNC Symbol;Acc:HGNC:18101]"
"9274","SPRY1","4","sprouty RTK signaling antagonist 1 [Source:HGNC Symbol;Acc:HGNC:11269]"
"9275","DEFB123","20","defensin beta 123 [Source:HGNC Symbol;Acc:HGNC:18103]"
"9276","KAT6A","8","lysine acetyltransferase 6A [Source:HGNC Symbol;Acc:HGNC:13013]"
"9277","DEFB124","20","defensin beta 124 [Source:HGNC Symbol;Acc:HGNC:18104]"
"9278","HS3ST6","16","heparan sulfate-glucosamine 3-sulfotransferase 6 [Source:HGNC Symbol;Acc:HGNC:14178]"
"9279","REM1","20","RRAD and GEM like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:15922]"
"9280","SIGLEC11","19","sialic acid binding Ig like lectin 11 [Source:HGNC Symbol;Acc:HGNC:15622]"
"9281","ME2","18","malic enzyme 2 [Source:HGNC Symbol;Acc:HGNC:6984]"
"9282","VAC14","16","VAC14 component of PIKFYVE complex [Source:HGNC Symbol;Acc:HGNC:25507]"
"9283","NOA1","4","nitric oxide associated 1 [Source:HGNC Symbol;Acc:HGNC:28473]"
"9284","TM9SF4","20","transmembrane 9 superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:30797]"
"9285","EML4","2","EMAP like 4 [Source:HGNC Symbol;Acc:HGNC:1316]"
"9286","NDUFB6","9","NADH:ubiquinone oxidoreductase subunit B6 [Source:HGNC Symbol;Acc:HGNC:7701]"
"9287","LUC7L2","7","LUC7 like 2, pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:21608]"
"9288","APOL1","22","apolipoprotein L1 [Source:HGNC Symbol;Acc:HGNC:618]"
"9289","POLR2B","4","RNA polymerase II subunit B [Source:HGNC Symbol;Acc:HGNC:9188]"
"9290","SPPL2C","17","signal peptide peptidase like 2C [Source:HGNC Symbol;Acc:HGNC:28902]"
"9291","EFCAB7","1","EF-hand calcium binding domain 7 [Source:HGNC Symbol;Acc:HGNC:29379]"
"9292","TAF1L","9","TATA-box binding protein associated factor 1 like [Source:HGNC Symbol;Acc:HGNC:18056]"
"9293","STH","17","saitohin [Source:HGNC Symbol;Acc:HGNC:18839]"
"9294","RIGI","9","RNA sensor RIG-I [Source:HGNC Symbol;Acc:HGNC:19102]"
"9295","MZB1","5","marginal zone B and B1 cell specific protein [Source:HGNC Symbol;Acc:HGNC:30125]"
"9296","VRK3","19","VRK serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:18996]"
"9297","PROB1","5","proline rich basic protein 1 [Source:HGNC Symbol;Acc:HGNC:41906]"
"9298","MCOLN2","1","mucolipin TRP cation channel 2 [Source:HGNC Symbol;Acc:HGNC:13357]"
"9299","DNAJC18","5","DnaJ heat shock protein family (Hsp40) member C18 [Source:HGNC Symbol;Acc:HGNC:28429]"
"9300","AMDHD1","12","amidohydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28577]"
"9301","ESR2","14","estrogen receptor 2 [Source:HGNC Symbol;Acc:HGNC:3468]"
"9302","TEKT5","16","tektin 5 [Source:HGNC Symbol;Acc:HGNC:26554]"
"9303","KIF3B","20","kinesin family member 3B [Source:HGNC Symbol;Acc:HGNC:6320]"
"9304","XG","X","Xg glycoprotein (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:12806]"
"9305","SLC35G2","3","solute carrier family 35 member G2 [Source:HGNC Symbol;Acc:HGNC:28480]"
"9306","SPOP","17","speckle type BTB/POZ protein [Source:HGNC Symbol;Acc:HGNC:11254]"
"9307","NCR3","6","natural cytotoxicity triggering receptor 3 [Source:HGNC Symbol;Acc:HGNC:19077]"
"9308","PAH","12","phenylalanine hydroxylase [Source:HGNC Symbol;Acc:HGNC:8582]"
"9309","NOL4L","20","nucleolar protein 4 like [Source:HGNC Symbol;Acc:HGNC:16106]"
"9310","PRSS58","7","serine protease 58 [Source:HGNC Symbol;Acc:HGNC:39125]"
"9311","NUBP1","16","NUBP iron-sulfur cluster assembly factor 1, cytosolic [Source:HGNC Symbol;Acc:HGNC:8041]"
"9312","FNDC3B","3","fibronectin type III domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24670]"
"9313","ST6GALNAC5","1","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:19342]"
"9314","RHEB","7","Ras homolog, mTORC1 binding [Source:HGNC Symbol;Acc:HGNC:10011]"
"9315","AIF1","6","allograft inflammatory factor 1 [Source:HGNC Symbol;Acc:HGNC:352]"
"9316","GAS2L1","22","growth arrest specific 2 like 1 [Source:HGNC Symbol;Acc:HGNC:16955]"
"9317","PPIF","10","peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]"
"9318","RPLP2","11","ribosomal protein lateral stalk subunit P2 [Source:HGNC Symbol;Acc:HGNC:10377]"
"9319","SULF2","20","sulfatase 2 [Source:HGNC Symbol;Acc:HGNC:20392]"
"9320","HTR1A","5","5-hydroxytryptamine receptor 1A [Source:HGNC Symbol;Acc:HGNC:5286]"
"9321","ATG4C","1","autophagy related 4C cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:16040]"
"9322","MAMLD1","X","mastermind like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:2568]"
"9323","SH3RF3","2","SH3 domain containing ring finger 3 [Source:HGNC Symbol;Acc:HGNC:24699]"
"9324","TOPORS","9","TOP1 binding arginine/serine rich protein, E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:21653]"
"9325","ZCCHC24","10","zinc finger CCHC-type containing 24 [Source:HGNC Symbol;Acc:HGNC:26911]"
"9326","HSD17B10","X","hydroxysteroid 17-beta dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:4800]"
"9327","ACSL6","5","acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496]"
"9328","NOTCH1","9","notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]"
"9329","CIAO1","2","cytosolic iron-sulfur assembly component 1 [Source:HGNC Symbol;Acc:HGNC:14280]"
"9330","SFTPA2","10","surfactant protein A2 [Source:HGNC Symbol;Acc:HGNC:10799]"
"9331","PNPLA2","11","patatin like phospholipase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30802]"
"9332","APOM","6","apolipoprotein M [Source:HGNC Symbol;Acc:HGNC:13916]"
"9333","IGFBP7","4","insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476]"
"9334","RIOK3","18","RIO kinase 3 [Source:HGNC Symbol;Acc:HGNC:11451]"
"9335","MYO1G","7","myosin IG [Source:HGNC Symbol;Acc:HGNC:13880]"
"9336","GTF3C4","9","general transcription factor IIIC subunit 4 [Source:HGNC Symbol;Acc:HGNC:4667]"
"9337","NOPCHAP1","12","NOP protein chaperone 1 [Source:HGNC Symbol;Acc:HGNC:28628]"
"9338","ZFP92","X","ZFP92 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:12865]"
"9339","HELZ2","20","helicase with zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:30021]"
"9340","RIMBP3B","22","RIMS binding protein 3B [Source:HGNC Symbol;Acc:HGNC:33891]"
"9341","FAM246A","22","family with sequence similarity 246 member A [Source:HGNC Symbol;Acc:HGNC:54844]"
"9342","H2BW1","X","H2B.W histone 1 [Source:HGNC Symbol;Acc:HGNC:27252]"
"9343","TVP23A","16","trans-golgi network vesicle protein 23 homolog A [Source:HGNC Symbol;Acc:HGNC:20398]"
"9344","MRTFA","22","myocardin related transcription factor A [Source:HGNC Symbol;Acc:HGNC:14334]"
"9345","CT45A10","X","cancer/testis antigen family 45 member A10 [Source:HGNC Symbol;Acc:HGNC:51263]"
"9346","PDZD4","X","PDZ domain containing 4 [Source:HGNC Symbol;Acc:HGNC:21167]"
"9347","AK8","9","adenylate kinase 8 [Source:HGNC Symbol;Acc:HGNC:26526]"
"9348","REST","4","RE1 silencing transcription factor [Source:HGNC Symbol;Acc:HGNC:9966]"
"9349","TMEM182","2","transmembrane protein 182 [Source:HGNC Symbol;Acc:HGNC:26391]"
"9350","PLAT","8","plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]"
"9351","SUDS3","12","SDS3 homolog, SIN3A corepressor complex component [Source:HGNC Symbol;Acc:HGNC:29545]"
"9352","C6orf47","6","chromosome 6 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:19076]"
"9353","GPANK1","6","G-patch domain and ankyrin repeats 1 [Source:HGNC Symbol;Acc:HGNC:13920]"
"9354","SFTPA1","10","surfactant protein A1 [Source:HGNC Symbol;Acc:HGNC:10798]"
"9355","SPACA9","9","sperm acrosome associated 9 [Source:HGNC Symbol;Acc:HGNC:1367]"
